1,AARTIPHARM,INE0LRU01027,635.75,20
2,DEEPAKNTR,INE288B01029,2696.45,20
3,TVSSCS,INE395N01027,177.56,20
4,RELINFRA,INE036A01016,258.85,100
5,NFL,INE870D01012,111.76,21.83
6,MARUTI,INE585B01010,11025.15,9
7,RAJESHEXPO,INE343B01030,235,20
8,BLUESTARCO,INE472A01039,1848.25,20
9,SGBJAN29IX,IN0020200377,8092,10
10,ITI,INE248A01017,278.84,23.8
11,BECTORFOOD,INE495P01012,1754.9,20
12,SGBMAR25,IN0020160126,7985.82,10
13,INDIAGLYCO,INE560A01015,1155.65,20
14,PGEL,INE457L01029,682.6,22.55
15,PREMIERENE,INE0BS701011,1095.9,20
16,SGBSEP27,IN0020190115,8049.99,10
17,SGBNOV25VI,IN0020170083,8000,10
18,RECLTD,INE020B01018,519.4,20
19,SGBAUG27,IN0020190107,8349.5,10
20,SGBMAY26,IN0020180033,8199.99,10
21,FLUOROCHEM,INE09N301011,3876.1,20
22,GSEC10IETF,INF109KC18O0,240.01,80
23,CHEMPLASTS,INE488A01050,495.4,20
24,PAGEIND,INE761H01022,45488.1,20
25,EICHERMOT,INE066A01021,5002.35,10.15
26,GUJALKALI,INE186A01019,767.9,20
27,NMDC,INE584A01023,226.8,20
28,KIRLOSENG,INE146L01010,1115,20
29,MOIL,INE490G01020,303.65,20
30,ANANTRAJ,INE242C01024,673.05,20
31,LMW,INE269B01029,15257.6,20
32,TIINDIA,INE974X01010,3395.3,20
33,STANLEY,INE01A001028,415.35,20
34,CHAMBLFERT,INE085A01013,479.2,20
35,SGBNOV25,IN0020170091,8000,10
36,RCF,INE027A01015,160.82,21.18
37,NCC,INE868B01028,299.6,20
38,IREDA,INE202E01016,189.97,21.22
39,STOVEKRAFT,INE00IN01015,758.95,20
40,VENUSPIPES,INE0JA001018,1677.45,20
41,TITAN,INE280A01028,3309.1,9
42,BASF,INE373A01013,5765.1,20.01
43,NIFTYIETF,INF109K012R6,269.52,6
44,HDFCBANK,INE040A01034,1785.6,9
45,HINDALCO,INE038A01020,659.85,13.14
46,LIQUIDBEES,INF732E01037,1000,5
47,POWERINDIA,INE07Y701011,11660.2,20
48,TATACONSUM,INE192A01025,955.7,9.5
49,SUBEXLTD,INE754A01055,23.1,20.21
50,SGBMAR30X,IN0020210319,8060.46,10
51,TANLA,INE483C01032,687.8,20
52,TORNTPHARM,INE685A01028,3266.6,20
53,YESBANK,INE528G01035,19.18,20
54,COLPAL,INE259A01022,2834.55,20
55,NRBBEARING,INE349A01021,286.7,20
56,ROSSARI,INE02A801020,810.65,20
57,SGBJUN30,IN0020220045,8134,10
58,SHRIRAMPPS,INE217L01019,99.84,20.06
59,SGBOCT25IV,IN0020170067,8249.99,10
60,DMART,INE192R01011,3621.05,20
61,SULA,INE142Q01026,397.65,20
62,ABSLLIQUID,INF209KB18T9,1000.01,5
63,INDUSTOWER,INE121J01017,337.35,20
64,RICOAUTO,INE209B01025,86.83,21.04
65,UCOBANK,INE691A01018,44.33,20
66,DOMS,INE321T01012,3069,20
67,AADHARHFC,INE883F01010,400.25,20
68,JUNIORBEES,INF732E01045,740.84,6.41
69,KFINTECH,INE138Y01010,1103.65,20
70,FORTIS,INE061F01013,697.85,20
71,BERGEPAINT,INE463A01038,475.9,20
72,OIL,INE274J01014,518.75,20
73,ITC,INE154A01025,476.8,9
74,LICNETFGSC,INF767K01MV5,26.47,80
75,EMAMILTD,INE548C01032,678.2,20
76,EBBETF0431,INF754K01LE1,1282.69,20
77,IMFA,INE919H01018,816.05,20
78,DRREDDY,INE089A01031,1209.3,9
79,3MINDIA,INE470A01017,31890,20
80,CONFIPET,INE552D01024,71.41,20
81,GUJGASLTD,INE844O01030,466.2,20
82,SETF10GILT,INF200KA1JT1,240.7,80
83,WHIRLPOOL,INE716A01013,1789.45,20
84,SOTL,INE035D01020,483.1,20
85,LTF,INE498L01015,140.94,20
86,ADVENZYMES,INE837H01020,366.75,20
87,VTL,INE825A01020,455.3,20
88,ICICIB22,INF109KB15Y7,113.85,20
89,JYOTHYLAB,INE668F01031,411.15,20
90,INDIANB,INE562A01011,564.85,20
91,MANKIND,INE634S01028,2610.1,20
92,SARDAEN,INE385C01021,439.2,20.09
93,LAOPALA,INE059D01020,315.1,20
94,GMDCLTD,INE131A01031,344.2,21.03
95,ASTRAL,INE006I01046,1782.7,20
96,SONACOMS,INE073K01018,672.5,20
97,HAVELLS,INE176B01034,1708.15,20
98,INTELLECT,INE306R01017,725.65,20
99,SAFARI,INE429E01023,2516.75,20
100,PFIZER,INE182A01018,5258.8,20
101,MCX,INE745G01035,6116.1,20
102,ARVIND,INE034A01011,379.45,20
103,NORTHARC,INE850M01015,230.4,20
104,DCBBANK,INE503A01015,117.38,20
105,RRKABEL,INE777K01022,1471.5,20
106,JSWINFRA,INE880J01026,304,20
107,BIOCON,INE376G01013,336.35,20
108,BIRLACORPN,INE340A01012,1109.9,20
109,PIIND,INE603J01030,4125.1,20
110,INDUSINDBK,INE095A01012,1003.5,13.82
111,TATAPOWER,INE245A01021,412.35,20
112,FILATEX,INE816B01035,62.84,20
113,BRITANNIA,INE216A01030,4903.95,9
114,MSTCLTD,INE255X01014,661.1,22.23
115,IOLCP,INE485C01011,352.85,20
116,SGBNOV258,IN0020170109,8000,10
117,SGBOCT27VI,IN0020190388,8090,10
118,BPCL,INE029A01011,296.55,13.2
119,SGBDE30III,IN0020220110,8136,10
120,ABB,INE117A01022,7259.85,20
121,APTUS,INE852O01025,311.65,20
122,GOLDBEES,INF204KB17I5,64.38,20
123,CEATLTD,INE482A01020,2913.6,20
124,NSLNISP,INE0NNS01018,44.26,20
125,SGBOCT25V,IN0020170075,7803,10
126,MRF,INE883A01011,124492.35,20
127,SGBJUN28,IN0020200104,8089.99,10
128,SYNGENE,INE398R01022,895.3,20
129,INOXINDIA,INE616N01034,1130.45,20
130,ACC,INE012A01025,2145,20
131,GRINDWELL,INE536A01023,2102,20
132,SHREECEM,INE070A01015,25467.3,20
133,ITIETF,INF109KC16I6,46.77,20
134,PHARMABEES,INF204KC1089,22.62,20
135,CLEAN,INE227W01023,1289.25,20
136,KROSS,INE0O6601022,212.02,20
137,HCLTECH,INE860A01027,1891.7,9
138,JUBLPHARMA,INE700A01033,1111.8,20
139,TIMKEN,INE325A01013,3351.6,20
140,SGBMAR28X,IN0020190552,8002.72,10
141,SGBSEP31II,IN0020230093,8240.82,10
142,IIFL,INE530B01024,413.45,20.91
143,SBFC,INE423Y01016,87.93,20
144,ARE&M,INE885A01032,1241.85,20
145,ADANIENSOL,INE931S01010,625.2,25.14
146,KAYNES,INE918Z01012,5895.85,20
147,STARCEMENT,INE460H01021,177.57,20
