Confirmed list of securities to be auctioned in A 2024218 to be held on Nov 19 2024.

Sr No,Symbol,Series,Total Qty
1,96IIFL28,N5,51
2,A2ZINFRA,EQ,3436
3,AARTECH,EQ,160
4,ACMESOLAR,EQ,62715
5,AEGISLOG,EQ,3
6,AIAENG,EQ,2
7,AKG,EQ,1236
8,AKI,EQ,10
9,AKUMS,EQ,4
10,APLAPOLLO,EQ,900
11,APOLLOHOSP,EQ,9
12,ARIHANTCAP,EQ,2
13,ARROWGREEN,EQ,1138
14,ARTNIRMAN,EQ,64
15,ASTRAMICRO,EQ,163
16,ATUL,EQ,1
17,AVALON,EQ,100
18,AVANTIFEED,EQ,25
19,BAJAJ-AUTO,EQ,2
20,BAJAJFINSV,EQ,5
21,BAJEL,EQ,1
22,BANCOINDIA,EQ,33901
23,BANDHANBNK,EQ,200
24,BBOX,EQ,322
25,BBTC,EQ,51
26,BHARATRAS,EQ,14
27,BIOCON,EQ,25
28,BLS,EQ,50
29,BLUESTARCO,EQ,709
30,BOMDYEING,EQ,100
31,BRITANNIA,EQ,4
32,BSE,EQ,407
33,BSE500IETF,EQ,1
34,BSOFT,EQ,1
35,CASTROLIND,EQ,1
36,CDSL,EQ,97
37,CUMMINSIND,EQ,10
38,DCI,EQ,11
39,DCXINDIA,EQ,75
40,DELHIVERY,EQ,1
41,DEVIT,EQ,122
42,DHRUV,EQ,1252
43,DIFFNKG,EQ,3113
44,DIXON,EQ,7
45,DYCL,EQ,459
46,EMBASSY,RR,344
47,ENERGYDEV,EQ,1252
48,EPIGRAL,EQ,11
49,ESILVER,EQ,224
50,EXXARO,EQ,1
51,GENCON,EQ,109
52,GMRP&UI,EQ,2
53,GNFC,EQ,5
54,GODREJIND,EQ,1
55,GODREJPROP,EQ,1
56,GOLD1,EQ,640
57,GOLDETFADD,EQ,180
58,GPTINFRA,EQ,49
59,GRANULES,EQ,82
60,GRASIM,EQ,182
61,GSEC10IETF,EQ,38
62,GSEC10YEAR,EQ,367
63,GTLINFRA,EQ,19984
64,GULPOLY,EQ,100
65,HAL,EQ,4
66,HBLPOWER,EQ,22
67,HDFCBANK,EQ,1
68,HDFCLIFE,EQ,500
69,HEROMOTOCO,EQ,6
70,HFCL,EQ,57
71,HIL,EQ,2
72,HINDALCO,EQ,40
73,HINDZINC,EQ,100
74,IDFCFIRSTB,EQ,27718
75,IEL,EQ,1541
76,IFCI,EQ,200
77,INDHOTEL,EQ,6
78,INDIGOPNTS,EQ,6
79,IZMO,EQ,284
80,JALAN,SM,3000
81,JGCHEM,EQ,10
82,JINDWORLD,EQ,3
83,JITFINFRA,EQ,9
84,JPOLYINVST,EQ,3470
85,JSWHL,EQ,22
86,KALYANIFRG,EQ,63
87,KAPSTON,EQ,74
88,KIRIINDUS,EQ,98
89,KPEL,EQ,503
90,KRBL,EQ,200
91,LAURUSLABS,EQ,233
92,LICNMID100,EQ,1
93,LIQUIDADD,EQ,96
94,LLOYDSME,EQ,3
95,LUPIN,EQ,5
96,M&M,EQ,10
97,MANGLMCEM,EQ,102
98,MAZDOCK,EQ,50
99,MGL,EQ,2
100,MITCONPP,E1,2
101,MOTILALOFS,EQ,5
102,MOVALUE,EQ,204
103,MPHASIS,EQ,19
104,MUTHOOTFIN,EQ,276
105,NATIONALUM,EQ,50
106,NAVA,EQ,300
107,NBCC,EQ,323
108,NETWORK18,EQ,162
109,NEXTMEDIA,EQ,1
110,NIFTYBEES,EQ,5
111,NIITLTD,EQ,1864
112,OFSS,EQ,2
113,OMAXE,EQ,104
114,ORIENTCEM,EQ,1370
115,PAYTM,EQ,50
116,PCCL,SM,400
117,PHOENIXLTD,EQ,68
118,PNB,EQ,1115
119,POWERGRID,EQ,8
120,PRAKASHSTL,EQ,339
121,PRECAM,EQ,3
122,PREMIERENE,EQ,2
123,QGOLDHALF,EQ,324
124,RECLTD,EQ,69
125,REDTAPE,EQ,68
126,RELIANCE,EQ,21
127,RKEC,EQ,169
128,ROLEXRINGS,EQ,3
129,ROTO,EQ,100
130,SAREGAMA,EQ,500
131,SARVESHWAR,EQ,1524
132,SETCO,EQ,3544
133,SHAKTIPUMP,EQ,161
134,SHARDACROP,EQ,42
135,SHRIRAMFIN,EQ,390
136,SKIPPER,EQ,199
137,SKP,SM,500
138,SOLARAPP,E1,4
139,SPLPETRO,EQ,1
140,SUNTV,EQ,30
141,SUPREMEIND,EQ,2
142,SUTLEJTEX,EQ,170
143,SUZLON,EQ,50
144,SWANENERGY,EQ,105
145,SWIGGY,EQ,206
146,TAJGVK,EQ,10
147,TALBROAUTO,EQ,1
148,TCLCONS,EQ,82
149,TECHM,EQ,149
150,TIINDIA,EQ,2
151,TORNTPOWER,EQ,6
152,TRANSWORLD,EQ,1
153,UTINIFTETF,EQ,50
154,VEDL,EQ,250
155,VENUSREM,EQ,100
156,VIJAYA,EQ,3
157,VIPCLOTHNG,EQ,13
158,VISHNU,EQ,1
159,VOLTAMP,EQ,53
160,WAAREEENER,EQ,100
161,WALCHANNAG,EQ,71
162,WEALTH,EQ,112
163,WEBELSOLAR,EQ,525
164,WELENT,EQ,794
165,WHEELS,EQ,1
166,YAARI,EQ,907
167,ZENSARTECH,EQ,1
168,ZOMATO,EQ,40
169,ZYDUSLIFE,EQ,4974
